method	track	genre	ref	est	acc1	acc2	sec
current	3863498.LOFI	hip-hop	150.0	99.38	0	0	2.51
current	4633603.LOFI	hip-hop	139.0	92.29	0	0	0.16
current	3958395.LOFI	funk-r-and-b	136.0	136.0	1	1	0.15
current	3733281.LOFI	reggae-dub	70.0	143.55	0	1	0.15
current	1874244.LOFI	reggae-dub	71.0	92.29	0	0	0.13
current	3892740.LOFI	pop-rock	129.0	129.2	1	1	0.16
current	1743969.LOFI	pop-rock	79.0	161.5	0	1	0.15
current	3151015.LOFI	pop-rock	174.0	172.27	1	1	0.16
current	4093555.LOFI	glitch-hop	92.0	123.05	0	0	0.13
current	3983645.LOFI	glitch-hop	110.0	112.35	1	1	0.12
current	5070846.LOFI	glitch-hop	110.0	112.35	1	1	0.16
current	4714481.LOFI	glitch-hop	112.0	152.0	0	0	0.16
current	4468729.LOFI	glitch-hop	160.0	161.5	1	1	0.12
current	4703149.LOFI	glitch-hop	110.0	112.35	1	1	0.14
current	1839656.LOFI	dubstep	140.0	92.29	0	0	0.14
current	4936740.LOFI	dubstep	142.0	92.29	0	0	0.13
current	3577628.LOFI	dubstep	139.0	112.35	0	0	0.14
current	4163587.LOFI	dubstep	127.0	123.05	1	1	0.16
current	3875632.LOFI	dubstep	139.0	92.29	0	0	0.16
current	4020698.LOFI	dubstep	141.0	143.55	1	1	0.15
current	210560.LOFI	chill-out	78.0	161.5	0	1	0.12
current	4091609.LOFI	chill-out	80.0	161.5	0	1	0.16
current	1885798.LOFI	chill-out	101.0	136.0	0	0	0.14
current	3658743.LOFI	chill-out	144.0	71.78	0	1	0.13
current	172384.LOFI	chill-out	84.0	172.27	0	1	0.15
current	426992.LOFI	breaks	167.0	112.35	0	0	0.13
current	4694833.LOFI	breaks	144.0	143.55	1	1	0.14
current	4800274.LOFI	breaks	141.0	92.29	0	0	0.17
current	4773948.LOFI	breaks	139.0	69.84	0	1	0.16
current	3467867.LOFI	drum-and-bass	170.0	172.27	1	1	0.12
current	672063.LOFI	drum-and-bass	174.0	117.45	0	0	0.12
current	3907042.LOFI	drum-and-bass	170.0	86.13	0	1	0.16
current	2725286.LOFI	drum-and-bass	174.0	117.45	0	0	0.14
current	4331667.LOFI	drum-and-bass	174.0	86.13	0	1	0.16
current	5261461.LOFI	house	174.0	117.45	0	0	0.2
current	2013128.LOFI	house	127.0	63.02	0	1	0.18
current	5135326.LOFI	house	130.0	103.36	0	0	0.12
current	1791554.LOFI	techno	125.0	172.27	0	0	0.14
current	2677224.LOFI	techno	127.0	83.35	0	0	0.2
current	2726353.LOFI	techno	117.0	117.45	1	1	0.15
librosa_tempo_full	3863498.LOFI	hip-hop	150.0	99.38	0	0	0.22
librosa_tempo_full	4633603.LOFI	hip-hop	139.0	143.55	1	1	0.21
librosa_tempo_full	3958395.LOFI	funk-r-and-b	136.0	136.0	1	1	0.2
librosa_tempo_full	3733281.LOFI	reggae-dub	70.0	143.55	0	1	0.22
librosa_tempo_full	1874244.LOFI	reggae-dub	71.0	92.29	0	0	0.22
librosa_tempo_full	3892740.LOFI	pop-rock	129.0	129.2	1	1	0.23
librosa_tempo_full	1743969.LOFI	pop-rock	79.0	161.5	0	1	0.21
librosa_tempo_full	3151015.LOFI	pop-rock	174.0	117.45	0	0	0.21
librosa_tempo_full	4093555.LOFI	glitch-hop	92.0	123.05	0	0	0.21
librosa_tempo_full	3983645.LOFI	glitch-hop	110.0	112.35	1	1	0.21
librosa_tempo_full	5070846.LOFI	glitch-hop	110.0	112.35	1	1	0.21
librosa_tempo_full	4714481.LOFI	glitch-hop	112.0	112.35	1	1	0.21
librosa_tempo_full	4468729.LOFI	glitch-hop	160.0	107.67	0	0	0.23
librosa_tempo_full	4703149.LOFI	glitch-hop	110.0	112.35	1	1	0.2
librosa_tempo_full	1839656.LOFI	dubstep	140.0	92.29	0	0	0.21
librosa_tempo_full	4936740.LOFI	dubstep	142.0	92.29	0	0	0.21
librosa_tempo_full	3577628.LOFI	dubstep	139.0	143.55	1	1	0.21
librosa_tempo_full	4163587.LOFI	dubstep	127.0	123.05	1	1	0.23
librosa_tempo_full	3875632.LOFI	dubstep	139.0	92.29	0	0	0.21
librosa_tempo_full	4020698.LOFI	dubstep	141.0	143.55	1	1	0.25
librosa_tempo_full	210560.LOFI	chill-out	78.0	103.36	0	0	0.21
librosa_tempo_full	4091609.LOFI	chill-out	80.0	161.5	0	1	0.23
librosa_tempo_full	1885798.LOFI	chill-out	101.0	136.0	0	0	0.25
librosa_tempo_full	3658743.LOFI	chill-out	144.0	143.55	1	1	0.29
librosa_tempo_full	172384.LOFI	chill-out	84.0	172.27	0	1	0.23
librosa_tempo_full	426992.LOFI	breaks	167.0	112.35	0	0	0.22
librosa_tempo_full	4694833.LOFI	breaks	144.0	143.55	1	1	0.24
librosa_tempo_full	4800274.LOFI	breaks	141.0	92.29	0	0	0.22
librosa_tempo_full	4773948.LOFI	breaks	139.0	143.55	1	1	0.22
librosa_tempo_full	3467867.LOFI	drum-and-bass	170.0	86.13	0	1	0.25
librosa_tempo_full	672063.LOFI	drum-and-bass	174.0	117.45	0	0	0.23
librosa_tempo_full	3907042.LOFI	drum-and-bass	170.0	172.27	1	1	0.23
librosa_tempo_full	2725286.LOFI	drum-and-bass	174.0	117.45	0	0	0.24
librosa_tempo_full	4331667.LOFI	drum-and-bass	174.0	117.45	0	0	0.29
librosa_tempo_full	5261461.LOFI	house	174.0	117.45	0	0	0.27
librosa_tempo_full	2013128.LOFI	house	127.0	83.35	0	0	0.24
librosa_tempo_full	5135326.LOFI	house	130.0	103.36	0	0	0.22
librosa_tempo_full	1791554.LOFI	techno	125.0	99.38	0	0	0.25
librosa_tempo_full	2677224.LOFI	techno	127.0	123.05	1	1	0.25
librosa_tempo_full	2726353.LOFI	techno	117.0	117.45	1	1	0.22
librosa_multiwin	3863498.LOFI	hip-hop	150.0	99.38	0	0	0.27
librosa_multiwin	4633603.LOFI	hip-hop	139.0	92.29	0	0	0.29
librosa_multiwin	3958395.LOFI	funk-r-and-b	136.0	68.0	0	1	0.28
librosa_multiwin	3733281.LOFI	reggae-dub	70.0	143.55	0	1	0.29
librosa_multiwin	1874244.LOFI	reggae-dub	71.0	92.29	0	0	0.27
librosa_multiwin	3892740.LOFI	pop-rock	129.0	129.2	1	1	0.27
librosa_multiwin	1743969.LOFI	pop-rock	79.0	78.3	1	1	0.25
librosa_multiwin	3151015.LOFI	pop-rock	174.0	86.13	0	1	0.29
librosa_multiwin	4093555.LOFI	glitch-hop	92.0	123.05	0	0	0.3
librosa_multiwin	3983645.LOFI	glitch-hop	110.0	89.1	0	0	0.35
librosa_multiwin	5070846.LOFI	glitch-hop	110.0	112.35	1	1	0.33
librosa_multiwin	4714481.LOFI	glitch-hop	112.0	112.35	1	1	0.42
librosa_multiwin	4468729.LOFI	glitch-hop	160.0	107.67	0	0	0.38
librosa_multiwin	4703149.LOFI	glitch-hop	110.0	112.35	1	1	0.24
librosa_multiwin	1839656.LOFI	dubstep	140.0	69.84	0	1	0.25
librosa_multiwin	4936740.LOFI	dubstep	142.0	92.29	0	0	0.27
librosa_multiwin	3577628.LOFI	dubstep	139.0	92.29	0	0	0.26
librosa_multiwin	4163587.LOFI	dubstep	127.0	63.02	0	1	0.28
librosa_multiwin	3875632.LOFI	dubstep	139.0	92.29	0	0	0.28
librosa_multiwin	4020698.LOFI	dubstep	141.0	69.84	0	1	0.3
librosa_multiwin	210560.LOFI	chill-out	78.0	78.3	1	1	0.27
librosa_multiwin	4091609.LOFI	chill-out	80.0	161.5	0	1	0.28
librosa_multiwin	1885798.LOFI	chill-out	101.0	136.0	0	0	0.34
librosa_multiwin	3658743.LOFI	chill-out	144.0	71.78	0	1	0.28
librosa_multiwin	172384.LOFI	chill-out	84.0	83.35	1	1	0.28
librosa_multiwin	426992.LOFI	breaks	167.0	83.35	0	1	0.27
librosa_multiwin	4694833.LOFI	breaks	144.0	95.7	0	0	0.3
librosa_multiwin	4800274.LOFI	breaks	141.0	92.29	0	0	0.29
librosa_multiwin	4773948.LOFI	breaks	139.0	69.84	0	1	0.28
librosa_multiwin	3467867.LOFI	drum-and-bass	170.0	86.13	0	1	0.3
librosa_multiwin	672063.LOFI	drum-and-bass	174.0	117.45	0	0	0.28
librosa_multiwin	3907042.LOFI	drum-and-bass	170.0	86.13	0	1	0.28
librosa_multiwin	2725286.LOFI	drum-and-bass	174.0	86.13	0	1	0.27
